rank,school,team_score
1,Bloomfield Hills,76.68
2,Troy,76.67
3,Detroit Catholic Central,53.34
4,Ann Arbor Skyline,43.33
5,Northville,40.01
6,Troy Athens,34.33
7,Rockford,30.0
8,Rochester,28.66
9,Rochester Adams,27.67
10,Bloomfield Hills Brother Rice,27.66
10,Novi,27.66
10,Okemos,27.66
13,Ann Arbor Pioneer,27.65
14,Rochester Hills Stoney Creek,21.99
15,Holland West Ottawa,19.98
16,Ann Arbor Huron,17.66
17,Clarkston,17.65
18,Brighton,11.99
19,Hudsonville,11.67
20,Utica Ford,8.33
21,Sterling Heights Stevenson,6.67
22,Salem,6.33
23,Grand Haven,6.0
24,East Kentwood,5.33
25,Romeo,5.0
26,Grand Ledge,4.0
26,Jenison,4.0
26,Saline,4.0
26,West Bloomfield,4.0
30,Ann Arbor Greenhills,3.0
30,Grandville,3.0
30,Grosse Pointe Woods University Liggett,3.0
30,Macomb L'Anse Creuse North,3.0
30,New Baltimore Anchor Bay,3.0
30,Utica Eisenhower,3.0
36,Port Huron Northern,2.0
36,Traverse City West,2.0
36,Warren De La Salle Collegiate,2.0
39,Berkley,1.0
39,Birmingham Seaholm,1.0
39,Clinton Township Chippewa Valley,1.0
39,Fraser,1.0
39,Grand Blanc,1.0
39,Holt,1.0
39,Kalamazoo Loy Norrix,1.0
39,Lake Orion,1.0
39,Livonia Stevenson,1.0
39,Plymouth,1.0
39,Portage Central,1.0
39,Saginaw Heritage,1.0
39,Traverse City Central,1.0
39,Utica,1.0
39,Walled Lake Northern,1.0
54,Belleville,0.0
54,Birmingham Groves,0.0
54,Brownstown Woodhaven,0.0
54,Caledonia,0.0
54,Davison,0.0
54,Dearborn,0.0
54,Dearborn Edsel Ford,0.0
54,Dearborn Fordson,0.0
54,Dexter,0.0
54,Grand Rapids Union,0.0
54,Harrison Township L'ANSE CREUSE,0.0
54,Hartland,0.0
54,Howell,0.0
54,Kalamazoo Central,0.0
54,Livonia Churchill,0.0
54,Livonia Franklin,0.0
54,Macomb Dakota,0.0
54,Monroe,0.0
54,Oxford,0.0
54,St Clair Shores Lakeview,0.0
54,Temperance Bedford,0.0
54,Warren Mott,0.0
54,Wyandotte Roosevelt,0.0
