rank,school,team_score
1,Grosse Pointe Woods University Liggett,103.35
2,Jackson Lumen Christi,86.65
3,Maple City Glen Lake,73.34
4,Berrien Springs,70.01
5,Williamston,40.99
6,Kalamazoo Christian,35.33
7,Grand Rapids West Catholic,33.0
8,Traverse City St Francis,32.99
9,Lansing Catholic,31.99
10,Pontiac Notre Dame Prep,29.99
11,Paw Paw,29.67
12,Lansing Christian School,29.34
13,West Bloomfield FJA,27.67
14,Allegan,26.33
15,Grand Rapids NorthPointe Christian,26.32
16,Grosse Ile,24.0
17,Ann Arbor Father Gabriel Richard,19.67
18,Niles Brandywine,19.66
18,Whitehall,19.66
20,Flint Powers Catholic,16.33
21,Grandville Calvin Christian,13.99
22,Grand Rapids Catholic Central,12.99
22,Kalamazoo Hackett Catholic Prep,12.99
24,Goodrich,11.99
25,Plymouth Christian Academy,10.0
26,North Muskegon,7.66
27,Wayland,6.33
28,Sandusky,5.33
29,Bay City Western,5.0
29,Croswell-Lexington,5.0
29,Essexville Garber,5.0
29,Portland,5.0
29,Three Rivers,5.0
34,Buchanan,4.0
34,Imlay City,4.0
34,Otsego,4.0
37,Elk Rapids,3.33
38,Lake Orion,3.0
38,Ortonville Brandon,3.0
38,Saginaw Nouvel Catholic Central,3.0
38,South Haven,3.0
42,Battle Creek Pennfield,2.0
42,Ludington,2.0
42,Muskegon Western Michigan Christian,2.0
42,Yale,2.0
46,Armada,1.0
46,Bronson,1.0
46,Comstock Park,1.0
46,New Buffalo / Bridgman / Lake Michigan Catholic (LMC),1.0
50,Alma,0.0
50,Almont,0.0
50,Bay City Central,0.0
50,Bay City John Glenn,0.0
50,Big Rapids,0.0
50,Brooklyn Columbia Central,0.0
50,Carleton Airport,0.0
50,Caro,0.0
50,Charlotte,0.0
50,Chesaning,0.0
50,Clawson,0.0
50,Clio,0.0
50,Coopersville,0.0
50,Dearborn Divine Child,0.0
50,Eaton Rapids,0.0
50,Edwardsburg,0.0
50,Fenton,0.0
50,Flint Kearsley,0.0
50,Flushing,0.0
50,Fowlerville,0.0
50,Frankenmuth,0.0
50,Fraser,0.0
50,Fremont,0.0
50,Fruitport,0.0
50,Grand Rapids Northview,0.0
50,Grant,0.0
50,Harbor Springs,0.0
50,Harrison Township L'ANSE CREUSE,0.0
50,Hemlock,0.0
50,Hillsdale,0.0
50,Lake Odessa Lakewood,0.0
50,Lapeer,0.0
50,Lowell,0.0
50,Marysville,0.0
50,Midland Bullock Creek,0.0
50,Monroe St Mary Catholic Central,0.0
50,Muskegon Reeths-Puffer,0.0
50,Niles,0.0
50,Ovid-Elsie,0.0
50,Plainwell,0.0
50,Portage Northern,0.0
50,Richmond,0.0
50,Saginaw Heritage,0.0
50,Sparta,0.0
50,Sturgis,0.0
50,Vicksburg,0.0
50,Wyoming Kelloggsville,0.0
